id;name;description;price;stock;photo;photo_content_type
1;Steel;Assistant;57374;81236;../fake-data/blob/hipster.png;image/png
2;support navigate;Chilean reboot Dynamic;70131;46955;../fake-data/blob/hipster.png;image/png
3;withdrawal THX Division;Metal;83023;40879;../fake-data/blob/hipster.png;image/png
4;Michigan throughput Union;intermediate initiative Generic;32770;54278;../fake-data/blob/hipster.png;image/png
5;Ball Small;Computer CFP orange;9548;46269;../fake-data/blob/hipster.png;image/png
6;mobile Vermont auxiliary;COM Implementation Awesome;52784;27331;../fake-data/blob/hipster.png;image/png
7;withdrawal invoice;Bike Shoes Center;20319;26845;../fake-data/blob/hipster.png;image/png
8;pixel methodical quantifying;rich South Forward;79521;23086;../fake-data/blob/hipster.png;image/png
9;Computer Arizona mobile;AGP lavender;71562;77577;../fake-data/blob/hipster.png;image/png
10;grey solution;Massachusetts Ergonomic Ergonomic;5859;10526;../fake-data/blob/hipster.png;image/png
